A,C,P,B,L,R,LA
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,2,60,12.9798,110.8,1,6
3,2,60,12.9505,110.8,1,6
3,2,60,12.9635,110.4,1,6
3,2,60,12.9668,110.2,1,6
3,2,60,12.9798,110.8,1,6
3,2,60,12.9537,110.6,1,6
3,2,60,12.9668,110,1,6
3,2,60,12.983,111.6,1,6
3,2,60,12.9603,110.8,1,6
3,2,60,12.9635,111,1,6
3,2,60,12.9472,110.4,1,6
3,2,60,12.957,110.8,1,6
3,2,60,12.9472,110.4,1,6
3,2,60,12.957,110,1,6
3,2,60,12.97,110.6,1,6
3,2,60,12.97,110.6,1,6
3,2,60,12.944,110.4,1,6
3,2,60,12.957,110.6,1,6
3,2,60,12.9895,110.8,1,6
3,2,60,12.9537,110.2,1,6
3,2,60,12.9668,110.8,1,6
3,2,60,12.9635,110.4,1,6
3,2,60,12.9635,110.8,1,6
3,2,60,12.957,110.8,1,6
3,2,60,12.9765,111.4,1,6
3,2,60,12.9537,110.4,1,6
3,2,60,12.9505,110.6,1,6
3,2,60,12.944,110.2,1,6
3,2,60,12.957,110.4,1,6
3,2,60,12.97,111,1,6
3,2,60,12.9668,110.8,1,6
3,2,60,12.9505,110.6,1,6
3,2,60,12.9407,110.2,1,6
3,2,60,12.9505,110.2,1,6
3,2,60,12.9635,110,1,6
3,2,60,12.9537,110.6,1,6
3,2,60,12.9603,110.4,1,6
3,2,60,12.9505,110.4,1,6
3,2,60,12.9603,110.4,1,6
3,2,60,12.9635,110.4,1,6
3,2,60,12.97,110.8,1,6
3,2,60,12.9603,110.4,1,6
3,2,60,12.9537,111.2,1,6
3,2,60,12.9635,110.8,1,6
3,2,60,12.9505,111.4,1,6
3,2,60,12.9635,110.4,1,6
3,2,60,12.944,110.6,1,6
3,2,60,12.9733,110.6,1,6
3,2,60,12.9798,110.4,1,6
3,2,60,12.9537,110.4,1,6
